epoch,address,status_before,status_after,cw_before,cw_after,raw_cw_delta,lost_cw_counted,eligible,category,compensation_ngonka,compensation_gnk,reason
276,gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,INACTIVE,INACTIVE,1343,1343,0,0,0,excluded_not_active_before,0,0.000000000,not ACTIVE at h_before
276,gonka1l8jd2nz92mnem0xwgwkltcw2952cnlphs5arsa,INACTIVE,INACTIVE,0,0,0,0,0,excluded_not_active_before,0,0.000000000,not ACTIVE at h_before
276,gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,INACTIVE,INACTIVE,0,0,0,0,0,excluded_not_active_before,0,0.000000000,not ACTIVE at h_before
276,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,INACTIVE,INACTIVE,16135,0,-16135,16135,0,excluded_not_active_before,0,0.000000000,not ACTIVE at h_before
276,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,ACTIVE,INACTIVE,65994,18447,-47547,65994,1,included_dropped,17896188970852,17896.188970852,ACTIVE before h_before and positive eligible confirmation-weight loss
276,gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,ACTIVE,INACTIVE,3801,0,-3801,3801,1,included_dropped,1030751496775,1030.751496775,ACTIVE before h_before and positive eligible confirmation-weight loss
276,gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,ACTIVE,INACTIVE,895,0,-895,895,1,included_dropped,242705232731,242.705232731,ACTIVE before h_before and positive eligible confirmation-weight loss
276,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,ACTIVE,INACTIVE,466,0,-466,466,1,included_dropped,126369428439,126.369428439,ACTIVE before h_before and positive eligible confirmation-weight loss
276,gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,ACTIVE,INACTIVE,345,0,-345,345,1,included_dropped,93556765689,93.556765689,ACTIVE before h_before and positive eligible confirmation-weight loss
276,gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,ACTIVE,INACTIVE,14579,0,-14579,14579,1,included_dropped,3953519092736,3953.519092736,ACTIVE before h_before and positive eligible confirmation-weight loss
