epoch,participant,poc_start_height,cpoc_sequence,event_trigger_height,exclusion_height,pass_models,qwen_evidence,kimi_evidence,qwen_pass_weight,kimi_pass_weight,stored_ratio_percent,old_formula_ratio_percent,old_formula_diff,old_formula_matches_stored,new_algorithm_ratio_percent,new_algorithm_would_pass_alpha,loss_gonka,technical_status,overlap_status,recommended_action,decision_boundary,evidence_summary
272,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,4197707,0,4202293,4202574,Qwen,pass_weight; commit; commits 896; valid 794373/548789 (96.5002%); validators 25/25,no_submission; no commit; commits 0; valid 0/548789 (0.0000%); validators 0/0,True,False,28.7372%,28.7372%,-0.0000000000000000,True,28.7372%,False,365.340258948,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,review,review: compare against P4-CAND-01 before payout,Qwen reached strict >2/3 cPoC validation; stored ratio 28.7372%; old replay match yes; bounded v0.2.13-style pass no.
272,gonka1nku7u6d5mz80h35ty8ydeh0k5xydesvt9w0vjr,4197707,0,4202293,4202574,Qwen,pass_weight; commit; commits 1375; valid 793001/548789 (96.3335%); validators 23/24,no_submission; no commit; commits 0; valid 0/548789 (0.0000%); validators 0/0,True,False,19.6229%,19.6229%,0.0000000000000000,True,19.6229%,False,146.964070171,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,review,review: compare against P4-CAND-01 before payout,Qwen reached strict >2/3 cPoC validation; stored ratio 19.6229%; old replay match yes; bounded v0.2.13-style pass no.
272,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,4197707,3,4209686,4209967,Kimi,no_submission; no commit; commits 0; valid 0/548789 (0.0000%); validators 0/0,pass_weight; commit; commits 23872; valid 748261/548789 (90.8985%); validators 20/20,False,True,40.2573%,40.2573%,-0.0000000000000001,True,40.2573%,False,22521.036302544,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,review,review: compare against P4-CAND-01 before payout,Kimi reached strict >2/3 cPoC validation; stored ratio 40.2573%; old replay match yes; bounded v0.2.13-style pass no.
272,gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,4197707,0,4202293,4202574,Qwen,pass_weight; commit; commits 13056; valid 792893/548789 (96.3204%); validators 23/23,no_submission; no commit; commits 0; valid 0/548789 (0.0000%); validators 0/0,True,False,19.0604%,19.0604%,-0.0000000000000000,True,19.0604%,False,8037.485696859,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,review,review: compare against P4-CAND-01 before payout,Qwen reached strict >2/3 cPoC validation; stored ratio 19.0604%; old replay match yes; bounded v0.2.13-style pass no.
273,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,4213098,0,4215427,4215708,Qwen,pass_weight; commit; commits 832; valid 566480/505811 (74.6631%); validators 27/27,no_submission; no commit; commits 0; valid 0/505811 (0.0000%); validators 0/0,True,False,49.0130%,49.0130%,-0.0000000000000001,True,49.0130%,False,218.861247867,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,review,review: compare against P4-CAND-01 before payout,Qwen reached strict >2/3 cPoC validation; stored ratio 49.0130%; old replay match yes; bounded v0.2.13-style pass no.
273,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,4213098,0,4215427,4215708,Qwen,pass_weight; commit; commits 8128; valid 558411/505811 (73.5996%); validators 26/26,no_submission; no commit; commits 0; valid 0/505811 (0.0000%); validators 0/0,True,False,31.5761%,31.5761%,0.0000000000000001,True,31.5761%,False,3018.788733411,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,review,review: compare against P4-CAND-01 before payout,Qwen reached strict >2/3 cPoC validation; stored ratio 31.5761%; old replay match yes; bounded v0.2.13-style pass no.
274,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,4228489,1,4231815,4232096,Qwen,pass_weight; commit; commits 320; valid 639375/511203 (83.3818%); validators 26/26,no_submission; no commit; commits 0; valid 0/511203 (0.0000%); validators 0/0,True,False,29.0542%,29.0542%,-0.0000000000000000,True,29.0542%,False,137.269776102,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,review,review: compare against P4-CAND-01 before payout,Qwen reached strict >2/3 cPoC validation; stored ratio 29.0542%; old replay match yes; bounded v0.2.13-style pass no.
274,gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,4228489,2,4232787,4233068,Qwen,pass_weight; commit; commits 416; valid 612200/511203 (79.8379%); validators 16/16,no_submission; no commit; commits 0; valid 0/511203 (0.0000%); validators 0/0,True,False,30.4095%,30.4095%,0.0000000000000001,True,30.4095%,False,173.159717563,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,review,review: compare against P4-CAND-01 before payout,Qwen reached strict >2/3 cPoC validation; stored ratio 30.4095%; old replay match yes; bounded v0.2.13-style pass no.
275,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,4243880,2,4258197,4258478,Qwen,pass_weight; commit; commits 320; valid 666218/491284 (90.4051%); validators 22/22,no_submission; no commit; commits 0; valid 0/491284 (0.0000%); validators 0/0,True,False,33.4816%,33.4816%,-0.0000000000000000,True,33.4816%,False,126.220428182,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,review,review: compare against P4-CAND-01 before payout,Qwen reached strict >2/3 cPoC validation; stored ratio 33.4816%; old replay match yes; bounded v0.2.13-style pass no.
276,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,4259271,2,4267778,4268059,Qwen+Kimi,pass_weight; commit; commits 11552; valid 694173/532020 (86.9859%); validators 22/23,pass_weight; commit; commits 12160; valid 628214/532020 (78.7207%); validators 15/15,True,True,35.2638%,40.0967%,-0.0483286930616480,False,40.0967%,False,17356.095656742,blocked_epoch276_overlap,known_p3_cand_04_same_address,blocked,blocked: resolve P3-CAND-04 duplicate risk,Qwen+Kimi reached strict >2/3 cPoC validation; stored ratio 35.2638%; old replay match no; bounded v0.2.13-style pass no.
276,gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,4259271,0,4264130,4264411,Kimi,no_submission; no commit; commits 0; valid 0/532020 (0.0000%); validators 0/0,pass_weight; commit; commits 14784; valid 687806/532020 (86.1881%); validators 17/17,False,True,37.1301%,37.1322%,-0.0000216514467822,False,37.1322%,False,11765.489995489,blocked_epoch276_overlap,p3_cand_04_epoch_overlap_unresolved,blocked,blocked: resolve P3-CAND-04 duplicate risk,Kimi reached strict >2/3 cPoC validation; stored ratio 37.1301%; old replay match no; bounded v0.2.13-style pass no.
276,gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,4259271,1,4265965,4266246,Qwen,pass_weight; commit; commits 4128; valid 613141/532020 (76.8319%); validators 25/25,no_submission; no commit; commits 0; valid 0/532020 (0.0000%); validators 0/0,True,False,16.9861%,16.9861%,0.0000000000000000,True,16.9861%,False,3557.528990032,blocked_epoch276_overlap,p3_cand_04_epoch_overlap_unresolved,blocked,blocked: resolve P3-CAND-04 duplicate risk,Qwen reached strict >2/3 cPoC validation; stored ratio 16.9861%; old replay match yes; bounded v0.2.13-style pass no.
276,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,4259271,0,4264130,4264411,Kimi,no_submission; no commit; commits 0; valid 0/532020 (0.0000%); validators 0/0,pass_weight; commit; commits 13920; valid 595705/532020 (74.6470%); validators 16/16,False,True,36.3655%,36.3655%,0.0000000000000001,True,36.3655%,False,10120.274911440,blocked_epoch276_overlap,p3_cand_04_epoch_overlap_unresolved,blocked,blocked: resolve P3-CAND-04 duplicate risk,Kimi reached strict >2/3 cPoC validation; stored ratio 36.3655%; old replay match yes; bounded v0.2.13-style pass no.
