epoch,participant,event_sequence,event_trigger_height,exclusion_height,total_network_weight,two_thirds_min_weight,root_weight,confirmation_weight_before,confirmation_weight_at_exclusion,confirmation_weight_delta,stored_confirmation_ratio,stored_confirmation_ratio_percent,simple_ratio_from_confirmation_weights,simple_ratio_diff,simple_ratio_matches_stored,alpha_threshold,qwen_submitted_count,qwen_valid_weight,qwen_valid_weight_percent,qwen_result,qwen_shortfall_vs_two_thirds,kimi_submitted_count,kimi_valid_weight,kimi_valid_weight_percent,kimi_result,kimi_shortfall_vs_two_thirds,pass_models,max_single_preserved_kimi_weight,max_single_preserved_kimi_weight_percent,loss_gonka,classification,classification_reason,p3_cand_04_epoch_overlap,p3_cand_04_known_address_overlap,p4_cand_01_epoch_overlap
272,gonka1nku7u6d5mz80h35ty8ydeh0k5xydesvt9w0vjr,0,4202293,4202574,823183,548789,426,2506,447,-2059,0.1962287210365091,19.6229,0.1962287210365091,0.0000000000000000,True,0.5,1375,793001,96.3335,pass_weight,0,0,0,0.0000,no_submission,548789,Qwen,82396,10.0094,146.964070171,single_model_pass_expected_capacity_failed,"one tracked model reached pass_weight, the other had no submission; stored ratio reconciles with the observed confirmation-weight reduction",False,False,True
272,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,3,4209686,4209967,823183,548789,65281,44078,27426,-16652,0.4025727135404508,40.2573,0.6845051309432409,-0.2819324174027901,False,0.5,0,0,0.0000,no_submission,548789,23872,748261,90.8985,pass_weight,0,Kimi,82396,10.0094,22521.036302544,single_model_pass_coefficient_replayed,"one tracked model reached pass_weight; stored ratio reconciles after historical coefficients, time normalization, preserved snapshot, and MLNode distribution replay",False,False,True
272,gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,0,4202293,4202574,823183,548789,23298,24524,4249,-20275,0.1906037937018298,19.0604,0.1906037937018298,-0.0000000000000000,True,0.5,13056,792893,96.3204,pass_weight,0,0,0,0.0000,no_submission,548789,Qwen,82396,10.0094,8037.485696859,single_model_pass_expected_capacity_failed,"one tracked model reached pass_weight, the other had no submission; stored ratio reconciles with the observed confirmation-weight reduction",False,False,True
273,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,0,4215427,4215708,758715,505811,585,615,274,-341,0.4901303138443925,49.0130,0.4901303138443926,-0.0000000000000001,True,0.5,832,566480,74.6631,pass_weight,0,0,0,0.0000,no_submission,505811,Qwen,98765,13.0174,218.861247867,single_model_pass_expected_capacity_failed,"one tracked model reached pass_weight, the other had no submission; stored ratio reconciles with the observed confirmation-weight reduction",False,False,True
273,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,0,4215427,4215708,758715,505811,8069,10669,3062,-7607,0.3157608599255127,31.5761,0.3157312638190429,0.0000295961064698,False,0.5,8128,558411,73.5996,pass_weight,0,0,0,0.0000,no_submission,505811,Qwen,98765,13.0174,3018.788733411,single_model_pass_coefficient_replayed,"one tracked model reached pass_weight; stored ratio reconciles after historical coefficients, time normalization, preserved snapshot, and MLNode distribution replay",False,False,True
274,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,1,4231815,4232096,766804,511203,371,312,103,-209,0.2905418747002905,29.0542,0.3631773433753632,-0.0726354686750727,False,0.5,320,639375,83.3818,pass_weight,0,0,0,0.0000,no_submission,511203,Qwen,147637,19.2536,137.269776102,single_model_pass_coefficient_replayed,"one tracked model reached pass_weight; stored ratio reconciles after historical coefficients, time normalization, preserved snapshot, and MLNode distribution replay",False,False,True
274,gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,2,4232787,4233068,766804,511203,468,492,136,-356,0.3040954501954261,30.4095,0.3040954501954260,0.0000000000000001,True,0.5,416,612200,79.8379,pass_weight,0,0,0,0.0000,no_submission,511203,Qwen,147637,19.2536,173.159717563,single_model_pass_expected_capacity_failed,"one tracked model reached pass_weight, the other had no submission; stored ratio reconciles with the observed confirmation-weight reduction",False,False,True
275,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,2,4258197,4258478,736925,491284,328,289,105,-184,0.3348160903046826,33.4816,0.3996939486336177,-0.0648778583289351,False,0.5,320,666218,90.4051,pass_weight,0,0,0,0.0000,no_submission,491284,Qwen,45333,6.1516,126.220428182,single_model_pass_coefficient_replayed,"one tracked model reached pass_weight; stored ratio reconciles after historical coefficients, time normalization, preserved snapshot, and MLNode distribution replay",False,False,True
276,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,2,4267778,4268059,798029,532020,48865,65994,21654,-44340,0.3526384050777585,35.2638,0.3609689089647214,-0.0083305038869629,False,0.5,11552,694173,86.9859,pass_weight,0,12160,628214,78.7207,pass_weight,0,Qwen+Kimi,113540,14.2276,17356.095656742,strong_signal_but_epoch276_overlap,"both tracked models reached pass_weight, but this is during the v0.2.13 upgrade epoch and overlaps the P3-CAND-04 cPoC-misfire review",True,True,True
276,gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,0,4264130,4264411,798029,532020,33125,50810,17149,-33661,0.3713006608671101,37.1301,0.3713006608671101,-0.0000000000000000,True,0.5,0,0,0.0000,no_submission,532020,14784,687806,86.1881,pass_weight,0,Kimi,44453,5.5703,11765.489995489,single_model_pass_expected_capacity_failed,"one tracked model reached pass_weight, the other had no submission; stored ratio reconciles with the observed confirmation-weight reduction",True,False,True
276,gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,1,4265965,4266246,798029,532020,10016,8698,1343,-7355,0.1698606282794295,16.9861,0.1698606282794295,0.0000000000000000,True,0.5,4128,613141,76.8319,pass_weight,0,0,0,0.0000,no_submission,532020,Qwen,49367,6.1861,3557.528990032,single_model_pass_expected_capacity_failed,"one tracked model reached pass_weight, the other had no submission; stored ratio reconciles with the observed confirmation-weight reduction",True,False,True
276,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,0,4264130,4264411,798029,532020,28493,48847,16147,-32700,0.3636554209600337,36.3655,0.3636554209600336,0.0000000000000001,True,0.5,0,0,0.0000,no_submission,532020,13920,595705,74.6470,pass_weight,0,Kimi,44453,5.5703,10120.274911440,single_model_pass_expected_capacity_failed,"one tracked model reached pass_weight, the other had no submission; stored ratio reconciles with the observed confirmation-weight reduction",True,False,True
