epoch,participant,root_weight,total_network_weight,actual_reward_ngonka,expected_reward_ngonka,loss_ngonka,loss_gonka,claimed,exclusion_height,exclusion_reason,participant_status_at_exclusion,confirmation_ratio,confirmation_ratio_percent,alpha_threshold,ratio_below_alpha,confirmation_weight_before_exclusion,confirmation_weight_at_exclusion,confirmation_weight_delta,event_sequence,event_trigger_height,qwen_submitted_count,qwen_valid_weight,qwen_valid_weight_percent,qwen_result,kimi_submitted_count,kimi_valid_weight,kimi_valid_weight_percent,kimi_result,kimi_preserved_participants,max_single_preserved_kimi_weight,max_single_preserved_kimi_weight_percent,case3_like_signature,signature_reason
265,gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,5666,904177,0,1785521602702,1785521602702,1785.521602702,False,4095963,failed_confirmation_poc,INACTIVE,0.0000000000000000,0.0000,0.5,True,6665,0,-6665,0,4095682,0,0,0.0000,no_submission,0,0,0.0000,no_submission,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5:33800:ml8;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:189884:4B200-spt-kimi-1;gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y:13490:node812;gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2:7057:node218;gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk:96900:U11;gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6:66311:kimi33,189884,21.0008,False,"zero_reward,ratio_below_alpha,kimi_below_2_3,kimi_preserved_power_present"
265,gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,14284,904177,0,4501304372219,4501304372219,4501.304372219,False,4095963,failed_confirmation_poc,INACTIVE,0.0000000000000000,0.0000,0.5,True,15035,0,-15035,0,4095682,0,0,0.0000,no_submission,0,0,0.0000,no_submission,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5:33800:ml8;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:189884:4B200-spt-kimi-1;gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y:13490:node812;gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2:7057:node218;gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk:96900:U11;gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6:66311:kimi33,189884,21.0008,False,"zero_reward,ratio_below_alpha,kimi_below_2_3,kimi_preserved_power_present"
265,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,13490,904177,0,4251091849709,4251091849709,4251.091849709,False,4103171,failed_confirmation_poc,INACTIVE,0.0000000000000000,0.0000,0.5,True,7031,0,-7031,2,4102890,0,0,0.0000,no_submission,0,0,0.0000,no_submission,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np:6710:node481;gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2:13883:mlnode-201;gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f:46242:B9;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:189884:4B200-spt-kimi-1;gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2:7057:node218;gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk:96900:U11;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5:5411:node2-4xB200;gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0:7194:node606;gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws:7090:node605,189884,21.0008,False,"zero_reward,ratio_below_alpha,kimi_below_2_3,kimi_preserved_power_present"
265,gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,10133,904177,0,3193203388665,3193203388665,3193.203388665,False,4095963,failed_confirmation_poc,INACTIVE,0.0000000000000000,0.0000,0.5,True,11921,0,-11921,0,4095682,0,0,0.0000,no_submission,0,0,0.0000,no_submission,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5:33800:ml8;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:189884:4B200-spt-kimi-1;gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y:13490:node812;gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2:7057:node218;gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk:96900:U11;gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6:66311:kimi33,189884,21.0008,False,"zero_reward,ratio_below_alpha,kimi_below_2_3,kimi_preserved_power_present"
265,gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk,96900,904177,0,30536011878192,30536011878192,30536.011878192,False,4095963,failed_confirmation_poc,INACTIVE,0.0893493822080585,8.9349,0.5,True,96900,7870,-89030,0,4095682,0,0,0.0000,no_submission,0,0,0.0000,no_submission,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5:33800:ml8;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:189884:4B200-spt-kimi-1;gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y:13490:node812;gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2:7057:node218;gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk:96900:U11;gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6:66311:kimi33,189884,21.0008,False,"zero_reward,ratio_below_alpha,kimi_below_2_3,kimi_preserved_power_present"
265,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,6710,904177,0,2114516405600,2114516405600,2114.516405600,False,4095963,failed_confirmation_poc,INACTIVE,0.0000000000000000,0.0000,0.5,True,7063,0,-7063,0,4095682,0,0,0.0000,no_submission,0,0,0.0000,no_submission,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5:33800:ml8;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:189884:4B200-spt-kimi-1;gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y:13490:node812;gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2:7057:node218;gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk:96900:U11;gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6:66311:kimi33,189884,21.0008,False,"zero_reward,ratio_below_alpha,kimi_below_2_3,kimi_preserved_power_present"
265,gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws,7090,904177,0,2234265471789,2234265471789,2234.265471789,False,4095963,failed_confirmation_poc,INACTIVE,0.0000000000000000,0.0000,0.5,True,7463,0,-7463,0,4095682,0,0,0.0000,no_submission,0,0,0.0000,no_submission,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5:33800:ml8;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:189884:4B200-spt-kimi-1;gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y:13490:node812;gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2:7057:node218;gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk:96900:U11;gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6:66311:kimi33,189884,21.0008,False,"zero_reward,ratio_below_alpha,kimi_below_2_3,kimi_preserved_power_present"
265,gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,12411,904177,0,3911067527556,3911067527556,3911.067527556,False,4095963,failed_confirmation_poc,INACTIVE,0.0000000000000000,0.0000,0.5,True,14601,0,-14601,0,4095682,0,0,0.0000,no_submission,0,0,0.0000,no_submission,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5:33800:ml8;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:189884:4B200-spt-kimi-1;gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y:13490:node812;gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2:7057:node218;gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk:96900:U11;gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6:66311:kimi33,189884,21.0008,False,"zero_reward,ratio_below_alpha,kimi_below_2_3,kimi_preserved_power_present"
265,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,66311,904177,0,20896527179100,20896527179100,20896.527179100,False,4103171,failed_confirmation_poc,INACTIVE,0.0053586212476565,0.5359,0.5,True,66311,323,-65988,2,4102890,960,35370,3.9118,weight_shortfall,52028,256727,28.3934,weight_shortfall,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np:6710:node481;gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2:13883:mlnode-201;gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f:46242:B9;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:189884:4B200-spt-kimi-1;gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2:7057:node218;gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk:96900:U11;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5:5411:node2-4xB200;gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0:7194:node606;gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws:7090:node605,189884,21.0008,True,"zero_reward,ratio_below_alpha,kimi_submitted,kimi_below_2_3,kimi_preserved_power_present"
265,gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,1066,904177,0,335927643572,335927643572,335.927643572,False,4103171,failed_confirmation_poc,INACTIVE,0.2070382476844176,20.7038,0.5,True,1254,236,-1018,2,4102890,704,629010,69.5671,pass_weight,0,0,0.0000,no_submission,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np:6710:node481;gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2:13883:mlnode-201;gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f:46242:B9;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:189884:4B200-spt-kimi-1;gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2:7057:node218;gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk:96900:U11;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5:5411:node2-4xB200;gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0:7194:node606;gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws:7090:node605,189884,21.0008,False,"zero_reward,ratio_below_alpha,kimi_below_2_3,kimi_preserved_power_present"
