event_sequence,trigger_height,participant,model_label,submitted_count,validator_count,valid_weight,total_network_weight,valid_weight_ratio,guardian_valid,guardian_invalid,guardian_no_vote,result,validators
0,4122271,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,Qwen,1024,5,129251,541415,0.238728,1,0,2,pass_guardian,gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f;gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel;gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e;gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz
0,4122271,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,Kimi,57664,10,171571,541415,0.316894,1,0,2,pass_guardian,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09;gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5;gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel;gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e;gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax;gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg;gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv;gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239;gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw
1,4130085,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,Qwen,0,0,0,541415,0.000000,0,0,3,no_submission,
1,4130085,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,Kimi,57408,15,239088,541415,0.441598,3,0,0,pass_guardian,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu;gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel;gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9;gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e;gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6;gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5;gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg;gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv;gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239;gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje;gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds;gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le
2,4133665,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,Qwen,0,0,0,541415,0.000000,0,0,3,no_submission,
2,4133665,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,Kimi,45376,19,302807,541415,0.559288,3,0,0,pass_guardian,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09;gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np;gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu;gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d;gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel;gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9;gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e;gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6;gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5;gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg;gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv;gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje;gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz;gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds;gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le;gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw
3,4134529,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,Qwen,0,0,0,541415,0.000000,0,0,3,no_submission,
3,4134529,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,Kimi,57888,21,311717,541415,0.575745,3,0,0,pass_guardian,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09;gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np;gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu;gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d;gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel;gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9;gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e;gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6;gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5;gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg;gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv;gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws;gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239;gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje;gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz;gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds;gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le;gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw
