epoch,address,case_family,case_track,source_status,source_scope,planned_amount_gonka,p4_paid_overlap_gonka,p4_paid_tracks,overlap_adjustment_gonka,p4_overpaid_gonka,final_payout_gonka,comment
276,gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,partial_cpoc_damage,3617.119418189,3427.176240497,P4-GroupCap-source,3427.176240497,,189.943177692,Exact P4 paid overlap deducted; remaining payout is positive.
276,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,failed_cpoc_full_drop,16028.213179615,,,,,16028.213179615,No exact P4 paid overlap.
276,gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,partial_cpoc_damage,79.662604523,,,,,79.662604523,No exact P4 paid overlap.
276,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,partial_cpoc_damage,34.245204993,1590.871839692,P4-GroupCap-source,34.245204993,1556.626634699,0.000000000,P4 exact payment exceeds this planned amount; final payout floored at zero.
276,gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,failed_cpoc_full_drop,923.163292052,,,,,923.163292052,No exact P4 paid overlap.
276,gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,failed_cpoc_full_drop,217.372045879,,,,,217.372045879,No exact P4 paid overlap.
276,gonka1ce02jjduga8jvwj8jx39mxn0jr345vgkx7lk2n,P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,partial_cpoc_damage,9.957825565,,,,,9.957825565,No exact P4 paid overlap.
276,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,failed_cpoc_full_drop,113.179188133,,,,,113.179188133,No exact P4 paid overlap.
276,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,partial_cpoc_damage,161.268199400,,,,,161.268199400,No exact P4 paid overlap.
276,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,partial_cpoc_damage,0.728621382,,,,,0.728621382,No exact P4 paid overlap.
