epoch,address,case_family_count,case_track_count,component_rows,status_groups,case_tracks,P3-CAND-01_gonka,P3-CAND-02_gonka,P3-CAND-03_gonka,P3-CAND-04_gonka,P4-CAND-01_gonka
276,gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,1,1,1,pending_estimate_revalidation_required,P3-CAND-04,,,,79.662604523,
276,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,2,2,2,"disputed_not_aggregate,pending_estimate_revalidation_required",P3-CAND-04; P4-GroupCap-source,,,,34.245204993,1590.871839692
276,gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,1,1,1,pending_estimate_revalidation_required,P3-CAND-04,,,,923.163292052,
276,gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,1,1,1,pending_estimate_revalidation_required,P3-CAND-04,,,,217.372045879,
276,gonka1ce02jjduga8jvwj8jx39mxn0jr345vgkx7lk2n,1,1,1,pending_estimate_revalidation_required,P3-CAND-04,,,,9.957825565,
276,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,1,1,1,pending_estimate_revalidation_required,P3-CAND-04,,,,113.179188133,
276,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,1,1,1,pending_estimate_revalidation_required,P3-CAND-04,,,,161.268199400,
276,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,1,1,1,pending_estimate_revalidation_required,P3-CAND-04,,,,0.728621382,
276,gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,2,2,2,"disputed_not_aggregate,pending_estimate_revalidation_required",P3-CAND-04; P4-GroupCap-source,,,,3390.761041922,5081.270939637
276,gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,1,1,1,pending_estimate_revalidation_required,P3-CAND-04,,,,83.791459026,
276,gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,2,2,2,"disputed_not_aggregate,pending_estimate_revalidation_required",P3-CAND-04; P4-GroupCap-source,,,,10.929320742,351.632757601
276,gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,1,1,1,pending_estimate_revalidation_required,P3-CAND-04,,,,3540.857046786,
276,gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,1,1,1,pending_estimate_revalidation_required,P3-CAND-04,,,,2.914485531,
276,gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,2,2,2,"disputed_not_aggregate,pending_estimate_revalidation_required",P3-CAND-04; P4-GroupCap-source,,,,3342.429156860,1811.086293948
276,gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,1,1,1,pending_estimate_revalidation_required,P3-CAND-04,,,,246.274027398,
276,gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,2,2,2,"disputed_not_aggregate,pending_estimate_revalidation_required",P3-CAND-04; P4-GroupCap-source,,,,49.060506444,1786.223371693
276,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,1,1,1,pending_estimate_revalidation_required,P3-CAND-04,,,,578.039630382,
TOTAL,,,,54,,,35109.923355683,1075.336150923,31158.584694469,32429.966254822,34944.788622168
