address,case_family_count,case_track_count,component_rows,epochs_present,exact_address_epoch_overlap_keys,status_groups,case_tracks,P3-CAND-01_gonka,P3-CAND-02_gonka,P3-CAND-03_gonka,P3-CAND-04_gonka,P4-CAND-01_gonka,total_gonka_if_naively_summed
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,1,2,3,"266,267,270",0,"disputed_not_aggregate,pending_estimate",P4-GroupCap-source; P4-e266-nonce,,,,,4673.802241961,4673.802241961
gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,1,2,4,"266,267,268,269",0,"disputed_not_aggregate,pending_estimate",P4-GroupCap-source; P4-e266-nonce,,,,,33750.579636210,33750.579636210
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,1,2,8,"266,267,269,270,271,273,275,276",0,"disputed_not_aggregate,pending_estimate",P4-GroupCap-source; P4-e266-nonce,,,,,73073.708453292,73073.708453292
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,1,2,11,"266,267,268,269,270,271,272,273,274,275,276",0,"disputed_not_aggregate,pending_estimate",P4-GroupCap-source; P4-e266-nonce,,,,,158541.879455919,158541.879455919
gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,1,2,7,"266,270,271,272,273,275,276",0,"disputed_not_aggregate,pending_estimate",P4-GroupCap-source; P4-e266-delegation,,,,,2293.694674600,2293.694674600
gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,1,2,2,"266,275",0,"disputed_not_aggregate,pending_estimate",P4-GroupCap-source; P4-e266-nonce,,,,,12612.234865692,12612.234865692
gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,1,2,4,"266,267,272,273",0,"disputed_not_aggregate,pending_estimate",P4-GroupCap-source; P4-e266-nonce,,,,,10456.612261496,10456.612261496
gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,1,2,5,"266,267,268,269,270",0,"disputed_not_aggregate,pending_estimate",P4-GroupCap-source; P4-e266-nonce,,,,,79247.555226990,79247.555226990
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,1,2,4,"266,267,272,273",0,"disputed_not_aggregate,pending_estimate",P4-GroupCap-source; P4-e266-nonce,,,,,9768.694504061,9768.694504061
gonka10070xwkwv00sulsa7gdfwkgh8w069stkjjf39x,1,1,1,269,0,disputed_not_aggregate,P4-GroupCap-source,,,,,1017.602508283,1017.602508283
