address,stage_start_height,snapshot_height,model_id,root_weight_healthy,root_confirmation_weight_healthy,root_weight_end,root_confirmation_weight_end,model_group_weight,model_group_confirmation_weight,model_voting_power_at_snapshot,model_total_voting_power_at_snapshot,two_thirds_model_voting_power,commit_rows,commit_count_sum,validation_rows,positive_validated_weight_sum,valid_validator_voting_power_sum,invalid_vote_rows,invalid_validator_voting_power_sum,classification
gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,4102890,4103171,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,66311,66311,66311,323,923,66311,66311,768106,512070.6666666667,1,960,10,2760,35370,0,0,submitted_but_below_two_thirds_validation_power
gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,4102890,4103171,moonshotai/Kimi-K2.6,66311,66311,66311,323,52279,66311,66311,687984,458656.0,1,52028,8,53028,256727,2,187906,submitted_but_below_two_thirds_validation_power
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,4102890,4103171,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,189884,186719,189884,172607,50745,189884,189884,768106,512070.6666666667,1,54464,21,58464,628084,0,0,submitted_with_validation_record
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,4102890,4103171,moonshotai/Kimi-K2.6,189884,186719,189884,172607,136007,189884,189884,687984,458656.0,1,124032,12,126232,641781,0,0,submitted_with_validation_record
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,4102890,4103171,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,13490,7031,13490,,,,,768106,512070.6666666667,0,0,0,0,0,0,0,no_submission_or_validation_record_at_stage
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,4102890,4103171,moonshotai/Kimi-K2.6,13490,7031,13490,,11252,14200,13490,687984,458656.0,0,0,0,0,0,0,0,no_submission_or_validation_record_at_stage
